amount,key
0,A
1,B
2,A
3,B
4,A
5,B
6,A
7,B
8,A
9,B
10,A
11,B
12,A
13,B
14,A
15,B
16,A
17,B
18,A
19,B
20,A
21,B
22,A
23,B
24,A
25,B
26,A
27,B
28,A
29,B
30,A
31,B
32,A
33,B
34,A
35,B
36,A
37,B
38,A
39,B
40,A
41,B
42,A
43,B
44,A
45,B
46,A
47,B
48,A
49,B
50,A
51,B
52,A
53,B
54,A
55,B
56,A
57,B
58,A
59,B
60,A
61,B
62,A
63,B
64,A
65,B
66,A
67,B
68,A
69,B
70,A
71,B
72,A
73,B
74,A
75,B
76,A
77,B
78,A
79,B
80,A
81,B
82,A
83,B
84,A
85,B
86,A
87,B
88,A
89,B
90,A
91,B
92,A
93,B
94,A
95,B
96,A
97,B
98,A
99,B
